N,matrix,max_abs_error,p95_abs_error,mean_row_tv,max_row_tv,min_from_count,all_from_states_observed,zero_probability_leak_count
15000,intensity,0.000624601301919686,0.000580238186538184,0.00031966095868384,0.000624601301919679,263841,1,0
20000,intensity,0.000400049627107435,0.000390647124672877,0.000279923717849486,0.00040004962710743,352261,1,0
30000,intensity,0.000386026663267758,0.00028059321417595,0.000220668935949113,0.000386026663267772,528801,1,0
15000,loc,0.00206671046897183,0.000880872966220109,0.00125504166257772,0.00220349090183337,54710,1,0
20000,loc,0.00142133068733369,0.000744047619047616,0.00101536815303726,0.00176350895155846,72912,1,0
30000,loc,0.00173163182510233,0.00074656724324762,0.00104878150785142,0.00207650519204644,109687,1,0
15000,lfw,0.000500770689185026,0.000500770689185026,0.000244504317491476,0.000500770689185026,78586,1,0
20000,lfw,0.000496586266985344,0.000496586266985344,0.000183244167678556,0.000496586266985344,105017,1,0
30000,lfw,0.000683335233245937,0.000683335233245937,0.000323846462864005,0.000683335233245933,157902,1,0
