a0,loc0,lfw0,sample_count,has_expected_sample_count
2,1,0,15000,1
2,2,0,15000,1
2,3,0,15000,1
2,4,0,15000,1
2,5,0,15000,1
2,6,0,15000,1
2,7,0,15000,1
3,1,0,15000,1
3,2,0,15000,1
3,3,0,15000,1
3,4,0,15000,1
3,5,0,15000,1
3,6,0,15000,1
3,7,0,15000,1
4,1,0,15000,1
4,2,0,15000,1
4,3,0,15000,1
4,4,0,15000,1
4,5,0,15000,1
4,6,0,15000,1
4,7,0,15000,1
5,1,0,15000,1
5,2,0,15000,1
5,3,0,15000,1
5,4,0,15000,1
5,5,0,15000,1
5,6,0,15000,1
5,7,0,15000,1
6,1,0,15000,1
6,2,0,15000,1
6,3,0,15000,1
6,4,0,15000,1
6,5,0,15000,1
6,6,0,15000,1
6,7,0,15000,1
