risk_proxy,quantile_level,initial_state_count,high_risk_count_total,equal_state_mean_high_risk_count,equal_state_mean_high_risk_empirical_mass,strictly_above_count_total,boundary_tie_count_total,pareto_count_total,equal_state_mean_pareto_count
grid_max_wind_mps,0.95,35,20170,576.285714285714,0.0672819047619046,15024,5146,117,3.34285714285714
grid_max_wind_mps,0.99,35,5747,164.2,0.0159219047619048,3498,2249,104,2.97142857142857
grid_max_wind_mps,0.995,35,3322,94.9142857142857,0.00803238095238095,1909,1413,92,2.62857142857143
grid_cumulative_excess_mps,0.95,35,14950,427.142857142857,0.0447485714285713,14881,69,182,5.2
grid_cumulative_excess_mps,0.99,35,4030,115.142857142857,0.0101638095238095,3927,103,155,4.42857142857143
grid_cumulative_excess_mps,0.995,35,2191,62.6,0.00507047619047619,2138,53,135,3.85714285714286
road_max_wind_mps,0.95,35,20170,576.285714285714,0.0672819047619046,15024,5146,117,3.34285714285714
road_max_wind_mps,0.99,35,5747,164.2,0.0159219047619048,3498,2249,104,2.97142857142857
road_max_wind_mps,0.995,35,3322,94.9142857142857,0.00803238095238095,1909,1413,92,2.62857142857143
road_cumulative_excess_mps,0.95,35,13675,390.714285714286,0.0416876190476189,13289,386,188,5.37142857142857
road_cumulative_excess_mps,0.99,35,3823,109.228571428571,0.00964,3726,97,163,4.65714285714286
road_cumulative_excess_mps,0.995,35,2262,64.6285714285714,0.00514476190476191,2145,117,146,4.17142857142857
