selection_path_id,source_category,main_sample_frequency,assigned_empirical_weight,reported_empirical_weight,empirical_weight_error,path_probability_min,path_probability_max,path_probability_range,should_trace_to_main,main_sample_overlap,traceability_pass,probability_identity_pass
1,main_ordinary,68,0.00453333333333333,0.00453333333333333,0,0.004361106326472,0.004361106326472,0,0,0,1,1
2,main_ordinary,64,0.00426666666666667,0.00426666666666667,0,0.003426583542228,0.003426583542228,0,0,0,1,1
3,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,1.06203825e-07,1.06203825e-07,0,1,0,1,1
4,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,9.690912e-10,9.690912e-10,0,1,0,1,1
5,unobserved_candidate,0,0,0,0,9.6e-16,9.6e-16,0,0,0,1,1
6,unobserved_candidate,0,0,0,0,8.9828352e-10,8.9828352e-10,0,0,0,1,1
7,main_ordinary,89,0.00593333333333333,0.00593333333333333,0,0.00579858818503263,0.00579858818503263,0,0,0,1,1
8,main_ordinary,78,0.0052,0.0052,0,0.0043282318952565,0.0043282318952565,0,0,0,1,1
9,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,3.00570515930667e-08,3.00570515930667e-08,0,1,0,1,1
10,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,9.4527e-10,9.4527e-10,0,1,0,1,1
11,unobserved_candidate,0,0,0,0,5.76e-16,5.76e-16,0,0,0,1,1
12,unobserved_candidate,0,0,0,0,5.472e-12,5.472e-12,0,0,0,1,1
13,main_ordinary,94,0.00626666666666667,0.00626666666666667,0,0.005508658775781,0.005508658775781,0,0,0,1,1
14,main_ordinary,78,0.0052,0.0052,0,0.0043282318952565,0.0043282318952565,0,0,0,1,1
15,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,2.088326521875e-08,2.088326521875e-08,0,1,0,1,1
16,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,2.1756976744186e-10,2.1756976744186e-10,0,1,0,1,1
17,unobserved_candidate,0,0,0,0,5.76e-16,5.76e-16,0,0,0,1,1
18,unobserved_candidate,0,0,0,0,4.43232e-11,4.43232e-11,0,0,0,1,1
19,main_ordinary,59,0.00393333333333333,0.00393333333333333,0,0.00359775350326701,0.00359775350326701,0,0,0,1,1
20,main_ordinary,45,0.003,0.003,0,0.0028268063239955,0.0028268063239955,0,0,0,1,1
21,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,1.45548525375e-06,1.45548525375e-06,0,1,0,1,1
22,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,1.56323720930232e-09,1.56323720930232e-09,0,1,0,1,1
23,unobserved_candidate,0,0,0,0,8e-16,8e-16,0,0,0,1,1
24,unobserved_candidate,0,0,0,0,7.485696e-10,7.485696e-10,0,0,0,1,1
25,main_ordinary,55,0.00366666666666667,0.00366666666666667,0,0.00431748533299101,0.00431748533299101,0,0,0,1,1
26,main_ordinary,46,0.00306666666666667,0.00306666666666667,0,0.00277552628549422,0.00277552628549422,0,0,0,1,1
27,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,3.102624e-07,3.102624e-07,0,1,0,1,1
28,observed_candidate,1,6.66666666666667e-05,6.66666666666667e-05,-2.71050543121376e-20,8.57736e-09,8.57736e-09,0,1,0,1,1
29,unobserved_candidate,0,0,0,0,1.0752e-14,1.0752e-14,0,0,0,1,1
30,unobserved_candidate,0,0,0,0,1.26425088e-08,1.26425088e-08,0,0,0,1,1
