a0,loc0,lfw0,observed_candidate_count,unobserved_candidate_count,all_candidate_count,observed_theoretical_probability_mass,unobserved_theoretical_probability_mass,all_candidate_theoretical_probability_mass,observed_probability_min,observed_probability_median,observed_probability_max,unobserved_probability_min,unobserved_probability_median,unobserved_probability_max,all_candidate_probability_min,all_candidate_probability_median,all_candidate_probability_max,mass_not_above_one,probability_scope
2,1,0,6,29,35,1.21774685936119e-06,5.21325e-11,1.21779899186119e-06,2.1756976744186e-10,4.5005007609375e-08,9.3665754e-07,5.76e-16,1.4784e-14,4.43232e-11,5.76e-16,2.88e-14,9.3665754e-07,1,conditional on this initial state; no renormalization
2,2,0,9,24,33,4.02979580873798e-07,7.1189268e-11,4.03050770141798e-07,3.0584736e-10,3.742931052e-08,2.116688574e-07,5.76e-16,9.919e-14,5.41728e-11,5.76e-16,3.4944e-13,2.116688574e-07,1,conditional on this initial state; no renormalization
2,3,0,2,19,21,5.80636056e-09,4.20504253333333e-11,5.84841098533333e-09,7.4977056e-10,2.90318028e-09,5.05659e-09,5.76e-16,1.52e-14,2.4624e-11,5.76e-16,1.58333333333333e-14,5.05659e-09,1,conditional on this initial state; no renormalization
2,4,0,8,12,20,2.69195347666562e-06,2.05107584e-11,2.69197398742403e-06,7.4844e-10,3.76521075000001e-08,1.29691044e-06,5.76e-16,2.304e-14,9.8496e-12,5.76e-16,5.2288e-12,1.29691044e-06,1,conditional on this initial state; no renormalization
2,5,0,2,31,33,5.63869164375e-08,1.91538208e-11,5.64060702583e-08,5.77368e-10,2.819345821875e-08,5.58095484375e-08,5.76e-16,2.16e-14,1.20384e-11,5.76e-16,2.304e-14,5.58095484375e-08,1,conditional on this initial state; no renormalization
2,6,0,6,47,53,1.45411860525096e-06,1.21527693333333e-11,1.45413075802029e-06,9.4527e-10,5.28265360465334e-08,1.10151657e-06,5.76e-16,1.6e-14,5.472e-12,5.76e-16,2.25e-14,1.10151657e-06,1,conditional on this initial state; no renormalization
2,7,0,7,32,39,7.02313146802485e-07,4.0679136e-12,7.02317214716085e-07,3.4155387288e-09,1.43621775e-08,5.9590705263158e-07,4.608e-16,3.9552e-15,2.1888e-12,4.608e-16,1.18272e-14,5.9590705263158e-07,1,conditional on this initial state; no renormalization
3,1,0,6,28,34,4.14976889275e-07,5.9678568e-11,4.15036567843e-07,8.30699999999998e-11,2.0111823375e-08,3.20945625e-07,8e-16,2.16e-14,5.318784e-11,8e-16,4.044e-14,3.20945625e-07,1,conditional on this initial state; no renormalization
3,2,0,8,28,36,7.34622315778829e-07,8.4469672e-11,7.34706785450828e-07,8.97999069767442e-10,2.313227109375e-08,4.04024414062501e-07,8e-16,2.052e-14,6.500736e-11,8e-16,4.436e-14,4.04024414062501e-07,1,conditional on this initial state; no renormalization
3,3,0,7,25,32,8.30735660025e-07,5.36566e-11,8.30789316625e-07,1.4017212e-09,1.29833418e-08,3.898125e-07,8e-16,8.16666666666667e-15,2.95488e-11,8e-16,1.93e-14,3.898125e-07,1,conditional on this initial state; no renormalization
3,4,0,4,19,23,3.8695505796e-07,2.5721232e-11,3.86980779192e-07,7.303296e-11,3.39722625e-08,3.189375e-07,8e-16,1.824e-14,1.181952e-11,8e-16,3.456e-14,3.189375e-07,1,conditional on this initial state; no renormalization
3,5,0,11,30,41,1.00243100348222e-06,2.3044688e-11,1.00245404817022e-06,3.86820622222222e-09,4.118352336e-08,5.5130625e-07,8e-16,2.448e-14,1.444608e-11,8e-16,6.5664e-14,5.5130625e-07,1,conditional on this initial state; no renormalization
3,6,0,4,37,41,1.732577352e-05,1.5001868e-11,1.7325788521868e-05,4.455e-10,1.12641375e-08,1.7302799745e-05,8e-16,1.056e-14,6.5664e-12,8e-16,1.92e-14,1.7302799745e-05,1,conditional on this initial state; no renormalization
3,7,0,4,24,28,1.213650846e-07,5.015936e-12,1.21370100536e-07,3.792096e-10,1.0467e-08,1.00051875e-07,6.4e-16,1.728e-14,2.62656e-12,6.4e-16,2.8224e-14,1.00051875e-07,1,conditional on this initial state; no renormalization
4,1,0,8,23,31,2.16064053318037e-06,3.64115686e-09,2.16428169004037e-06,3.11512499999999e-09,1.10332914846e-07,9.38148750000001e-07,8e-16,3.6e-15,3.3685632e-09,8e-16,3.75e-14,9.38148750000001e-07,1,conditional on this initial state; no renormalization
4,2,0,12,30,42,1.98666673928586e-06,4.75245316e-09,1.99141919244586e-06,3.7856e-12,8.9075904775e-08,9.3814875e-07,8e-16,8.475e-14,4.1171328e-09,8e-16,2.888e-12,9.3814875e-07,1,conditional on this initial state; no renormalization
4,3,0,8,20,28,2.05098460851e-06,2.03805823333333e-09,2.05302266674333e-06,6.174e-10,1.2423213e-07,1.20619125e-06,8e-16,3.9e-15,1.871424e-09,8e-16,7.75e-14,1.20619125e-06,1,conditional on this initial state; no renormalization
4,4,0,11,12,23,2.8347077323913e-06,8.1517768e-10,2.8355229100713e-06,1.56323720930232e-09,8.46093750000003e-08,1.45548525375e-06,8e-16,3.1e-14,7.485696e-10,8e-16,7.485696e-10,1.45548525375e-06,1,conditional on this initial state; no renormalization
4,5,0,6,27,33,2.582752953e-06,1.32279012e-09,2.58407574312e-06,4.382378e-10,2.454192e-08,2.388015e-06,8e-16,1.936e-14,9.149184e-10,8e-16,1.296e-13,2.388015e-06,1,conditional on this initial state; no renormalization
4,6,0,8,26,34,7.0143568688e-07,6.32042593333333e-10,7.02067729473333e-07,2.475e-10,1.87653576e-08,3.3891858e-07,8e-16,6.9e-15,4.15872e-10,8e-16,1.84e-13,3.3891858e-07,1,conditional on this initial state; no renormalization
4,7,0,9,21,30,1.437086156e-06,2.52758512e-10,1.437338914512e-06,8.5995e-09,5.65013735e-08,6.14061e-07,6.4e-16,3e-14,1.663488e-10,6.4e-16,1.116e-12,6.14061e-07,1,conditional on this initial state; no renormalization
5,1,0,11,23,34,6.55969204480698e-06,4.618907112e-09,6.56431095191898e-06,7.54600000000001e-10,1.84172965116279e-08,3.7253034e-06,9.6e-16,5.28e-15,4.04227584e-09,9.6e-16,9.504e-13,3.7253034e-06,1,conditional on this initial state; no renormalization
5,2,0,10,29,39,7.4141817988519e-06,5.698438224e-09,7.4198802370759e-06,2.59684526315789e-10,2.6329212e-07,3.7253034e-06,9.6e-16,8.64e-14,4.94055936e-09,9.6e-16,1.7328e-12,3.7253034e-06,1,conditional on this initial state; no renormalization
5,3,0,14,15,29,9.39998969550891e-06,2.44557028e-09,9.40243526578891e-06,6.3900252e-09,1.707420465e-07,5.1581124e-06,9.6e-16,3.6e-14,2.2457088e-09,9.6e-16,2.2457088e-09,5.1581124e-06,1,conditional on this initial state; no renormalization
5,4,0,8,11,19,7.3260882324e-07,9.78212256e-10,7.33587035496e-07,9.690912e-10,7.89829677e-08,2.2931493984e-07,9.6e-16,3.84e-14,8.9828352e-10,9.6e-16,5.54496e-11,2.2931493984e-07,1,conditional on this initial state; no renormalization
5,5,0,6,24,30,1.021770689664e-06,1.588099776e-09,1.02335878944e-06,4.002768e-09,5.408502e-08,6.9476616e-07,9.6e-16,1.2768e-13,1.09790208e-09,9.6e-16,2.046e-13,6.9476616e-07,1,conditional on this initial state; no renormalization
5,6,0,6,25,31,1.1520618289344e-06,6.73407456e-10,1.1527352363904e-06,1.4309568e-09,1.466591160672e-07,6.2272287e-07,9.6e-16,1.056e-14,4.990464e-10,9.6e-16,9e-14,6.2272287e-07,1,conditional on this initial state; no renormalization
5,7,0,5,20,25,5.7772863e-07,2.68009248e-10,5.77996639248e-07,2.347488e-08,4.147605e-08,3.859812e-07,7.68e-16,3.6e-14,1.9961856e-10,7.68e-16,3.84e-14,3.859812e-07,1,conditional on this initial state; no renormalization
6,1,0,10,23,33,9.19167399253794e-06,2.92536876064e-07,9.48421086860194e-06,1.14912e-10,1.089214976e-07,5.80580055e-06,3.2e-14,1.93536e-12,2.560108032e-07,3.2e-14,1.0944e-11,5.80580055e-06,1,conditional on this initial state; no renormalization
6,2,0,6,28,34,3.19560820336e-06,3.49390100192e-07,3.544998303552e-06,6.741504e-10,3.18925944e-08,2.907200868e-06,5.9136e-14,6.441e-12,3.129020928e-07,5.9136e-14,1.064e-11,2.907200868e-06,1,conditional on this initial state; no renormalization
6,3,0,6,21,27,4.30846077640001e-06,1.55114939173333e-07,4.46357571557334e-06,2.96436672e-08,8.34395496e-08,3.94221025000001e-06,2.688e-14,2.28e-12,1.42228224e-07,2.688e-14,6.08e-12,3.94221025000001e-06,1,conditional on this initial state; no renormalization
6,4,0,9,13,22,5.754577669888e-05,6.3372115264e-08,5.7609148814144e-05,3.85596288e-09,2.17362432e-07,2.4445476e-05,1.0752e-14,2.432e-12,5.68912896e-08,1.0752e-14,2.4650752e-09,2.4445476e-05,1,conditional on this initial state; no renormalization
6,5,0,10,24,34,1.34163831984e-05,1.007477383104e-07,1.35171309367104e-05,1.300266e-08,2.91653838e-07,7.093632672e-06,2.79552e-14,4.3776e-12,6.95337984e-08,2.79552e-14,1.378944e-10,7.093632672e-06,1,conditional on this initial state; no renormalization
6,6,0,11,30,41,1.0432030104e-05,4.14509239189333e-08,1.04734810279189e-05,2.1348096e-08,7.27776e-07,3.94090704e-06,2.688e-14,5.244e-13,3.1606272e-08,2.688e-14,3.87072e-12,3.94090704e-06,1,conditional on this initial state; no renormalization
6,7,0,10,28,38,2.67909034272e-05,1.6586592448e-08,2.6807490019648e-05,8.57736e-09,4.36107456e-07,2.037123e-05,1.0752e-14,2.0976e-13,1.26425088e-08,1.0752e-14,1.914144e-12,2.037123e-05,1,conditional on this initial state; no renormalization
