scope,a0,loc0,seed_id,sample_count,minimum_mps,mean_mps,median_mps,q90_mps,q95_mps,maximum_mps,lower_bound_mps,upper_bound_mps
all,NaN,NaN,NaN,2495,51.0523923789753,55.4715587027455,55.4356046967054,57.9939246065246,58.6354205708896,59.7820567865982,51,60
state_seed,2,1,1,1,56.3894767648963,56.3894767648963,56.3894767648963,56.3894767648963,56.3894767648963,56.3894767648963,51,60
state_seed,2,1,2,1,56.6037773392644,56.6037773392644,56.6037773392644,56.6037773392644,56.6037773392644,56.6037773392644,51,60
state_seed,4,4,1,24,52.5851375336254,55.1637321038483,55.207112341981,56.7427077448705,56.777132813031,59.7127518902449,51,60
state_seed,4,4,2,26,51.3985917810992,54.8512310612699,54.399149537429,57.5800374051375,58.9816971111348,59.2255157706117,51,60
state_seed,4,4,3,33,52.8325718392849,55.4164518631239,55.5939624553432,57.1793695826074,58.0101194831685,58.9859929354983,51,60
state_seed,5,4,1,31,52.2755033343084,56.0148910164803,55.9992694151112,58.5507041005284,58.8804122752198,59.224806441073,51,60
state_seed,5,4,2,33,52.3053231030463,55.5352861321525,55.4467666990902,57.8522046579285,59.3145204015502,59.407708911354,51,60
state_seed,5,4,3,34,51.4764250837599,55.6497807294821,55.5663966484827,57.7159461058312,59.0580015492758,59.1090005711499,51,60
state_seed,6,7,1,755,51.2479069230823,55.472634022546,55.331765426655,58.1316218263972,58.7138871729271,59.7273400737849,51,60
state_seed,6,7,2,769,51.0523923789753,55.4991117678523,55.4927807717153,57.9173766631723,58.5289341053173,59.746859670226,51,60
state_seed,6,7,3,788,51.1010284294646,55.441455551399,55.456220008831,57.9670616746727,58.5629195576189,59.7820567865982,51,60
