from_loc_id,to_loc_id,prob
-2,-2,0.476857142857143
-2,-1,0.216428571428571
-2,0,0.195571428571429
-2,1,0.0805714285714286
-2,2,0.019
-2,3,0.00928571428571429
-2,4,0.00228571428571429
-1,-2,0.368714285714286
-1,-1,0.108142857142857
-1,0,0.216428571428571
-1,1,0.195571428571429
-1,2,0.0805714285714286
-1,3,0.019
-1,4,0.00928571428571429
-1,5,0.00228571428571429
0,-2,0.223285714285714
0,-1,0.145428571428571
0,0,0.108142857142857
0,1,0.216428571428571
0,2,0.195571428571429
0,3,0.0805714285714286
0,4,0.019
0,5,0.00928571428571429
0,6,0.00228571428571429
1,-2,0.0772857142857143
1,-1,0.146
1,0,0.145428571428571
1,1,0.108142857142857
1,2,0.216428571428571
1,3,0.195571428571429
1,4,0.0805714285714286
1,5,0.019
1,6,0.00928571428571429
1,7,0.00228571428571429
2,-2,0.0184285714285714
2,-1,0.0588571428571429
2,0,0.146
2,1,0.145428571428571
2,2,0.108142857142857
2,3,0.216428571428571
2,4,0.195571428571429
2,5,0.0805714285714286
2,6,0.019
2,7,0.00928571428571429
2,8,0.00228571428571429
3,-2,0.00657142857142857
3,-1,0.0118571428571429
3,0,0.0588571428571429
3,1,0.146
3,2,0.145428571428571
3,3,0.108142857142857
3,4,0.216428571428571
3,5,0.195571428571429
3,6,0.0805714285714286
3,7,0.019
3,8,0.00928571428571429
3,9,0.00228571428571429
4,-2,0.00114285714285714
4,-1,0.00542857142857143
4,0,0.0118571428571429
4,1,0.0588571428571429
4,2,0.146
4,3,0.145428571428571
4,4,0.108142857142857
4,5,0.216428571428571
4,6,0.195571428571429
4,7,0.0805714285714286
4,8,0.019
4,9,0.00928571428571429
4,10,0.00228571428571429
5,-1,0.00114285714285714
5,0,0.00542857142857143
5,1,0.0118571428571429
5,2,0.0588571428571429
5,3,0.146
5,4,0.145428571428571
5,5,0.108142857142857
5,6,0.216428571428571
5,7,0.195571428571429
5,8,0.0805714285714286
5,9,0.019
5,10,0.0115714285714286
6,0,0.00114285714285714
6,1,0.00542857142857143
6,2,0.0118571428571429
6,3,0.0588571428571429
6,4,0.146
6,5,0.145428571428571
6,6,0.108142857142857
6,7,0.216428571428571
6,8,0.195571428571429
6,9,0.0805714285714286
6,10,0.0305714285714286
7,1,0.00114285714285714
7,2,0.00542857142857143
7,3,0.0118571428571429
7,4,0.0588571428571429
7,5,0.146
7,6,0.145428571428571
7,7,0.108142857142857
7,8,0.216428571428571
7,9,0.195571428571429
7,10,0.111142857142857
8,2,0.00114285714285714
8,3,0.00542857142857143
8,4,0.0118571428571429
8,5,0.0588571428571429
8,6,0.146
8,7,0.145428571428571
8,8,0.108142857142857
8,9,0.216428571428571
8,10,0.306714285714286
9,3,0.00114285714285714
9,4,0.00542857142857143
9,5,0.0118571428571429
9,6,0.0588571428571429
9,7,0.146
9,8,0.145428571428571
9,9,0.108142857142857
9,10,0.523142857142857
10,4,0.00114285714285714
10,5,0.00542857142857143
10,6,0.0118571428571429
10,7,0.0588571428571429
10,8,0.146
10,9,0.145428571428571
10,10,0.631285714285715
